"Advocate Name","Advocate Argument Number","Argument Date","Term","Case Number","Case Title","Citation","URL"
"Nicole A. Saharsky",10,"2011-02-28","2010-10","09-1533","DePierre v. United States","564 U.S. 70 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-1533&event=2"
"Nicole A. Saharsky",11,"2011-04-25","2010-10","09-1403","Erica P. John Fund, Inc. v. Halliburton Co.","563 U.S. 804 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-1403&event=2"
"Nicole A. Saharsky",12,"2011-10-12","2011-10","10-945","Florence v. Board of Chosen Freeholders of County of Burlington","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-945&event=2"
"Nicole A. Saharsky",13,"2011-11-02","2011-10","10-8974","Perry v. New Hampshire","565 U.S. 228 (2012)","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-8974&event=2"
"Nicole A. Saharsky",14,"2012-01-17","2011-10","10-1018","Filarsky v. Delia","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-1018&event=2"
"Nicole A. Saharsky",15,"2012-10-31","2012-10","11-564","Florida v. Jardines","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=11-564&event=2"
"Nicole A. Saharsky",16,"2012-12-05","2012-10","11-1347","Chafin v. Chafin","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=11-1347&event=2"
"Nicole A. Saharsky",17,"2013-01-09","2012-10","11-1425","Missouri v. McNeely","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=11-1425&event=2"
"Nicole A. Saharsky",18,"2013-10-16","2013-10","12-609","Kansas v. Cheever","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-609&event=2"
"Nicole A. Saharsky",19,"2013-11-12","2013-10","12-3","Lawson v. FMR LLC","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-3&event=2"
"Nicole A. Saharsky",20,"2014-01-21","2013-10","12-1315","Petrella v. Metro-Goldwyn-Mayer, Inc.","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-1315&event=2"
"Nicole A. Saharsky",21,"2014-11-03","2014-10","13-435","Omnicare, Inc. v. Laborers Dist. Council Constr. Industry Pension Fund","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-435&event=2"
"Nicole A. Saharsky",22,"2015-01-13","2014-10","13-1019","Mach Mining, LLC v. EEOC","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1019&event=2"
"Nicole A. Saharsky",23,"2015-02-24","2014-10","13-550","Tibble v. Edison Int'l","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-550&event=2"
"Nicole A. Saharsky",24,"2015-11-04","2015-10","14-844","Bruce v. Samuels","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-844&event=2"
"Nicole A. Saharsky",25,"2016-01-13","2015-10","15-108","Puerto Rico v. Sanchez Valle","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=15-108&event=2"
"Nicole A. Saharsky",26,"2016-04-26","2015-10","15-6092","Mathis v. United States","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=15-6092&event=2"
"Nicole Saharsky",27,"2016-12-05","2016-10","15-1262","McCrory v. Harris","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-1262&event=2"
"Nicole A. Saharsky",28,"2017-03-22","2016-10","16-369","County of Los Angeles v. Mendez","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=16-369&event=2"
"Nicole A. Saharsky",29,"2017-04-25","2016-10","16-405","BNSF R. Co. v. Tyrrell","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=16-405&event=2"
"Nicole A. Saharsky",30,"2019-04-24","2018-10","18-489","Taggart v. Lorenzen","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=18-489&event=2"
"Nicole A. Saharsky",31,"2025-01-22","2024-10","23-1007","Cunningham v. Cornell University","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-1007&event=2"
"Nicole A. Saharsky",32,"2025-04-02","2024-10","23-1275","Medina v. Planned Parenthood South Atlantic","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-1275&event=2"
"Nicole F. Reaves",1,"2021-03-30","2020-10","20-297","TransUnion LLC v. Ramirez","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=20-297&event=2"
"Nicole F. Reaves",2,"2021-10-13","2021-10","20-480","Babcock v. Kijakazi","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=20-480&event=1"
"Nicole F. Reaves",3,"2022-04-26","2021-10","21-511","Shoop v. Twyford","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=21-511&event=2"
"Nicole F. Reaves",4,"2022-11-28","2022-10","21-1158","Percoco v. United States","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=21-1158&event=2"
"Nicole F. Reaves",5,"2023-01-09","2022-10","21-1454","OH Adjutant Gen.'s Dept. v. FLRA","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=21-1454&event=2"
"Nicole F. Reaves",6,"2023-10-30","2023-10","22-585","Culley v. Marshall","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=22-585&event=2"
"Nicole F. Reaves",7,"2024-03-20","2023-10","22-1025","Gonzalez v. Trevino","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=22-1025&event=2"
"Nicole F. Reaves",8,"2024-12-09","2024-10","23-861","Feliciano v. Dept. of Transportation","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-861&event=2"
"Nicole F. Reaves",9,"2025-04-28","2024-10","24-249","A. J. T. v. Osseo Area Schools","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=24-249&event=2"
"Nicole F. Reaves",1,"2021-10-13","2021-10","20-480","Babcock v. Kijakazi","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=20-480&event=1"
"Nicole A. Saharsky",1,"2008-03-24","2007-10","06-11429","Burgess v. United States","553 U.S. 124 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-11429&event=1"
"Nina Kraut",1,"1991-02-19","1990-10","90-96","Siegert v. Gilley","500 U.S. 226 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=90-96&event=1"
"Nina Perales",1,"2006-03-01","2005-10","05-204,05-254,05-276,05-439","League of United Latin American Citizens v. Perry","548 U.S. 399 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=05-204%2C05-254%2C05-276%2C05-439&event=1"
"Nina Rivkind",1,"2005-10-11","2005-10","04-980","Brown v. Sanders","546 U.S. 212 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-980&event=1"
"Norma Chase",1,"1986-04-02","1985-10","85-227","Smalis v. Pennsylvania","476 U.S. 140 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=85-227&event=1"
"Olive H. Rabe",1,"1929-04-12","1928-10","484","United States v. Schwimmer","279 U.S. 644 (1929)","https://argumentaloud.org/courts/ussc/?term=1928-10&case=484"
"Oretta D. Sears",1,"1975-03-24","1974-10","74-156","Hicks v. Miranda","422 U.S. 332 (1975)","https://argumentaloud.org/courts/ussc/?term=1974-10&case=74-156&event=1"
"Pamela A. Rumpz",1,"1999-03-03","1998-10","98-5864","Strickler v. Greene","527 U.S. 263 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=98-5864&event=1"
"Pamela A. Rumpz",2,"2002-02-20","2001-10","00-8452","Atkins v. Virginia","536 U.S. 304 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-8452&event=1"
"Pamela Harris",1,"2008-11-12","2008-10","07-665","Pleasant Grove City v. Summum","555 U.S. 460 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-665&event=1"
"Pamela J. Harbour",1,"1997-10-07","1997-10","96-871","State Oil Company v. Khan","522 U.S. 3 (1997)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=96-871&event=1"
"Pamela S. Horowitz",1,"1977-04-19","1976-10","76-422","Dothard v. Rawlinson","433 U.S. 321 (1977)","https://argumentaloud.org/courts/ussc/?term=1976-10&case=76-422&event=1"
"Pamela S. Karlan",1,"1991-04-22","1990-10","90-757,90-1032","Chisom v. Roemer","501 U.S. 380 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=90-757%2C90-1032&event=1"
"Pamela S. Karlan",2,"1995-10-02","1995-10","94-203","Morse v. Republican Party of Virginia","517 U.S. 186 (1996)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=94-203&event=1"
"Pamela S. Karlan",3,"2004-12-01","2004-10","03-1407","Rousey v. Jacoway","544 U.S. 320 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-1407&event=1"
"Pamela S. Karlan",4,"2005-12-05","2005-10","04-1131","Whitman v. Dept. of Transportation","547 U.S. 512 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1131&event=1"
"Pamela S. Karlan",5,"2008-03-24","2007-10","07-77","Riley v. Kennedy","553 U.S. 406 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=07-77&event=1"
"Pamela S. Karlan",6,"2008-10-07","2008-10","07-513","Herring v. United States","555 U.S. 135 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-513&event=1"
"Pamela S. Karlan",7,"2010-04-20","2009-10","09-367","Dolan v. United States","560 U.S. 605 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=09-367&event=1"
"Pamela S. Karlan",8,"2018-02-27","2017-10","17-21","Lozman v. Riviera Beach","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=17-21&event=2"
"Pamela S. Karlan",9,"2019-10-08","2019-10","17-1618","Bostock v. Clayton County","","https://argumentaloud.org/courts/ussc/?term=2019-10&case=17-1618&event=2"
"Pamela S. Karlan",10,"2023-10-31","2023-10","22-324","O’Connor-Ratcliff v. Garnier","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=22-324&event=2"
"Pamela S. Moran",1,"1991-11-04","1991-10","90-5844","Foucha v. Louisiana","504 U.S. 71 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=90-5844&event=1"
"Pamela S. Thompson",1,"1993-01-11","1992-10","91-5397","Negonsott v. Samuels","507 U.S. 99 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-5397&event=1"
"Pamela Y. Price",1,"2002-01-09","2001-10","00-1614","National Railroad Passenger Corporation v. Morgan","536 U.S. 101 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-1614&event=1"
"Patricia A. Brannan",1,"1987-02-25","1986-10","85-2156","Shaare Tefila Congregation v. Cobb","481 U.S. 615 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-2156&event=1"
"Patricia A. Brannan",2,"1999-04-26","1999-10","98-405,98-406","Reno v. Bossier Parish School Board","528 U.S. 320 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=98-405%2C98-406&event=1"
"Patricia A. Brannan",3,"1999-10-06","1999-10","98-405,98-406","Reno v. Bossier Parish School Board","528 U.S. 320 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=98-405%2C98-406&event=3"
"Patricia A. Gilley",1,"2012-11-28","2012-10","11-9307","Henderson v. United States","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=11-9307&event=2"
"Patricia A. Millett",1,"1997-01-06","1996-10","95-1441","Blessing v. Freestone","520 U.S. 329 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=95-1441&event=1"
"Patricia A. Millett",2,"1997-10-07","1997-10","96-792","Kalina v. Fletcher","522 U.S. 118 (1997)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=96-792&event=1"
"Patricia A. Millett",3,"1998-04-21","1997-10","97-501","Ricci v. Arlington Heights","523 U.S. 613 (1998)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=97-501&event=1"
"Patricia A. Millett",4,"1998-11-02","1998-10","97-1418","Bank of America v. 203 North LaSalle Partnership","526 U.S. 434 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=97-1418&event=1"
"Patricia A. Millett",5,"1999-03-03","1998-10","97-1754","Immigration & Naturalization Service v. Aguirre-Aguirre","526 U.S. 415 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=97-1754&event=1"
"Patricia A. Millett",6,"2000-03-01","1999-10","99-312","Norfolk Southern Railway Company v. Shanklin","529 U.S. 344 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=99-312&event=1"
"Patricia A. Millett",7,"2000-03-21","1999-10","99-536","Reeves v. Sanderson Plumbing Products, Inc.","530 U.S. 133 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=99-536&event=1"
"Patricia A. Millett",8,"2000-10-03","2000-10","99-1030","City of Indianapolis v. Edmond","531 U.S. 32 (2000)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=99-1030&event=1"
"Patricia A. Millett",9,"2001-01-16","2000-10","99-1613","Shaw v. Murphy","532 U.S. 223 (2001)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=99-1613&event=1"
"Patricia A. Millett",10,"2002-01-09","2001-10","00-1567","Young v. United States","535 U.S. 43 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-1567&event=1"
"Patricia A. Millett",11,"2002-03-26","2001-10","01-417","Devlin v. Scardelletti","536 U.S. 1 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=01-417&event=1"
"Patricia A. Millett",12,"2002-04-24","2001-10","01-679","Gonzaga University v. Doe","536 U.S. 273 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=01-679&event=1"
"Patricia A. Millett",13,"2002-12-03","2002-10","01-1420","Washington State Department of Health and Human Services v. Guardianship Estate of Keffeler","537 U.S. 371 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=01-1420&event=1"
"Patricia A. Millett",14,"2003-03-24","2002-10","01-10873,02-5034","Nguyen v. United States","539 U.S. 69 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=01-10873%2C02-5034&event=1"
"Patricia A. Millett",15,"2003-11-05","2003-10","02-1060","Illinois v. Lidster","540 U.S. 419 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=02-1060&event=1"
"Patricia A. Millett",16,"2003-12-03","2003-10","02-954","National Archives and Records Administration v. Favish","541 U.S. 157 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=02-954&event=1"
"Patricia A. Millett",17,"2004-10-05","2004-10","03-409","KP Permanent Make-Up, Inc. v. Lasting Impression I, Inc.","543 U.S. 111 (2004)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-409&event=1"
"Patricia A. Millett",18,"2004-11-03","2004-10","03-750","Small v. United States","544 U.S. 385 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-750&event=1"
"Patricia A. Millett",19,"2005-04-25","2004-10","04-6432","Gonzalez v. Crosby","545 U.S. 524 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=04-6432&event=1"
"Patricia A. Millett",20,"2005-11-07","2005-10","04-848","Dolan v. Postal Service","546 U.S. 481 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-848&event=1"
"Patricia A. Millett",21,"2006-02-27","2005-10","04-1506","Arkansas Dept. of Health and Human Servs. v. Ahlborn","547 U.S. 268 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1506&event=1"
"Patricia A. Millett",22,"2006-04-17","2005-10","05-83","Washington v. Recuenco","548 U.S. 212 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=05-83&event=1"
"Patricia A. Millett",23,"2007-01-16","2006-10","06-84,06-100","Safeco Insurance Co. of America v. Burr","551 U.S. 47 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=06-84%2C06-100&event=1"
"Patricia A. Millett",24,"2007-03-20","2006-10","06-5247","Fry v. Pliler","551 U.S. 112 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=06-5247&event=1"
"Patricia A. Millett",25,"2007-04-17","2006-10","06-531","Sole v. Wyner","551 U.S. 74 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=06-531&event=1"
"Patricia A. Millett",26,"2008-03-24","2007-10","07-308","United States v. Clintwood Elkhorn Mining Co.","553 U.S. 1 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=07-308&event=1"
"Patricia A. Millett",27,"2009-10-06","2009-10","08-769","United States v. Stevens","559 U.S. 460 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-769&event=1"
"Patricia A. Millett",28,"2010-03-03","2009-10","08-1555","Samantar v. Yousuf","560 U.S. 305 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-1555&event=1"
"Patricia A. Millett",29,"2011-11-02","2011-10","10-895","Gonzalez v. Thaler","565 U.S. 134 (2012)","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-895&event=2"
"Patricia A. Millett",30,"2012-01-17","2011-10","10-1018","Filarsky v. Delia","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-1018&event=2"
"Patricia A. Millett",31,"2012-04-24","2011-10","11-246,11-247","Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians v. Patchak","","https://argumentaloud.org/courts/ussc/?term=2011-10&case=11-246%2C11-247&event=2"
"Patricia A. Millett",32,"2013-03-18","2012-10","12-71","Arizona v. Inter Tribal Council of Ariz. Inc.","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=12-71&event=2"
"Patricia Guilday",1,"1997-01-14","1996-10","96-126","Chandler v. Miller","520 U.S. 305 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=96-126&event=1"
"Patricia H. Collins",1,"1949-04-19","1948-10","506","United States ex rel. Johnson v. Shaughnessy","336 U.S. 806 (1949)","https://argumentaloud.org/courts/ussc/?term=1948-10&case=506"
"Patricia J. Barry",1,"1981-03-31","1980-10","80-242","Lehman v. Nakshian","453 U.S. 156 (1981)","https://argumentaloud.org/courts/ussc/?term=1980-10&case=80-242&event=1"
"Patricia J. Barry",2,"1986-03-25","1985-10","84-1979","Meritor Savings Bank, FSB v. Vinson","477 U.S. 57 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1979&event=1"
"Patricia A. Millett",1,"2000-10-03","2000-10","99-1030","City of Indianapolis v. Edmond","531 U.S. 32 (2000)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=99-1030&event=1"
"Patricia Rosen",1,"1977-03-01,1977-03-02","1976-10","75-1513","Dixon v. Love","431 U.S. 105 (1977)","https://argumentaloud.org/courts/ussc/?term=1976-10&case=75-1513&event=1"
"Patricia Rosen",2,"1987-03-31","1986-10","86-251","Rockford Life Insurance Company v. Illinois Department of Revenue","482 U.S. 182 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=86-251&event=1"
"Patricia T. Barmeyer",1,"1990-01-08","1989-10","74-Orig","Georgia v. South Carolina","497 U.S. 376 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=74-Orig&event=1"
"Patricia Unsinn",1,"1988-10-04","1988-10","87-5259","Teague v. Lane","489 U.S. 288 (1989)","https://argumentaloud.org/courts/ussc/?term=1988-10&case=87-5259&event=1"
"Patricia M. Wald",1,"1978-04-17","1977-10","77-444","Penn Central Transportation Company v. New York City","438 U.S. 104 (1978)","https://argumentaloud.org/courts/ussc/?term=1977-10&case=77-444&event=1"
"Patti A. Goldman",1,"1989-03-20","1988-10","87-2127","American Foreign Service Association v. Garfinkel","490 U.S. 153 (1989)","https://argumentaloud.org/courts/ussc/?term=1988-10&case=87-2127&event=1"
"Patti A. Goldman",2,"1991-04-16","1990-10","90-906","Metropolitan Washington Airports Authority v. Citizens for the Abatement of Aircraft Noise, Inc.","501 U.S. 252 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=90-906&event=1"
"Patti S. Kitching",1,"1983-04-19","1982-10","82-695","Franchise Tax Bd. of Cal. v. Construction Laborers Vacation Trust for Southern Cal.","463 U.S. 1 (1983)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=82-695&event=1"
"Patti S. Kitching",2,"1984-04-17","1983-10","83-372","Franchise Tax Board of California v. United States Postal Service","467 U.S. 512 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=83-372&event=1"
"Patty Merkamp Stemler",1,"1985-10-09","1985-10","84-1023","United States v. Rojas-Contreras","474 U.S. 231 (1985)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1023&event=1"
"Paula Hutchinson",1,"1998-02-23","1997-10","96-1693","Hopkins v. Reeves","524 U.S. 88 (1998)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=96-1693&event=1"
"Paula K. Smith",1,"1990-11-06","1990-10","87-6796","Ford v. Georgia","498 U.S. 411 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=87-6796&event=1"
"Paula K. Smith",2,"2005-11-08","2005-10","04-1067","Georgia v. Randolph","547 U.S. 103 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1067&event=1"
"Paula S. Bickett",1,"2010-11-03","2010-10","09-987,09-991","Arizona Christian School Tuition Organization v. Winn","563 U.S. 125 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-987%2C09-991&event=2"
"Pearl M. Hart",1,"1957-02-28","1956-10","295","United States v. Witkovich","353 U.S. 194 (1957)","https://argumentaloud.org/courts/ussc/?term=1956-10&case=295&event=1"
"Penda D. Hair",1,"1988-02-29","1988-10","87-107","Patterson v. McLean Credit Union","491 U.S. 164 (1989)","https://argumentaloud.org/courts/ussc/?term=1988-10&case=87-107&event=1"
"Penda D. Hair",2,"1995-12-05","1995-10","94-805,94-806,94-988","Bush v. Vera","517 U.S. 952 (1996)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=94-805%2C94-806%2C94-988&event=1"
"Penelope M. Cooper",1,"1987-03-04","1986-10","85-1672","United States v. Merchant","480 U.S. 615 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-1672&event=1"
"Penny J. White",1,"1988-04-27","1987-10","87-5428","Houston v. Lack","487 U.S. 266 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=87-5428&event=1"
"Penny R. Warren",1,"1984-02-28","1983-10","82-6840","James v. Kentucky","466 U.S. 341 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-6840&event=1"
"Penny R. Warren",2,"1987-04-22","1986-10","86-572","Kentucky v. Stincer","482 U.S. 730 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=86-572&event=1"
"Phylis Skloot Bamberger",1,"1969-10-15","1969-10","189,271","Minor v. United States","396 U.S. 87 (1969)","https://argumentaloud.org/courts/ussc/?term=1969-10&case=189%2C271&event=1"
"Phylis Skloot Bamberger",2,"1972-11-06","1972-10","71-850","United States v. Mara","410 U.S. 19 (1973)","https://argumentaloud.org/courts/ussc/?term=1972-10&case=71-850&event=1"
"Phylis Skloot Bamberger",3,"1976-10-12","1976-10","74-6632","Moody v. Daggett","429 U.S. 78 (1976)","https://argumentaloud.org/courts/ussc/?term=1976-10&case=74-6632&event=1"
"Phylis Skloot Bamberger",4,"1979-01-16","1978-10","77-1829","Bell v. Wolfish","441 U.S. 520 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=77-1829&event=1"
"Preeta D. Bansal",1,"2001-03-26","2000-10","00-121","Duncan v. Walker","533 U.S. 167 (2001)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=00-121&event=1"
"Premila Burns",1,"2015-03-30","2014-10","13-1433","Brumfield v. Cain","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1433&event=1"
"Priscilla J. Smith",1,"2000-10-04","2000-10","99-936","Ferguson v. City of Charleston","532 U.S. 67 (2001)","https://argumentaloud.org/courts/ussc/?term=2000-10&case=99-936&event=1"
"Priscilla Smith",2,"2006-11-08","2006-10","05-380,05-1382","Gonzales v. Carhart","550 U.S. 124 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=05-380%2C05-1382&event=1"
"Priscilla Smith",1,"2006-11-08","2006-10","05-380,05-1382","Gonzales v. Carhart","550 U.S. 124 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=05-380%2C05-1382&event=1"
"R. Claire Guthrie",1,"1990-01-09","1989-10","88-2043","Wilder v. Virginia Hospital Association","496 U.S. 498 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-2043&event=1"
"Rachel Meeropol",1,"2017-01-18","2016-10","15-1358,15-1359,15-1363","Ziglar v. Abbasi","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-1358%2C15-1359%2C15-1363&event=2"
"Rachel P. Kovner",1,"2014-01-21","2013-10","12-9490","Prado Navarette v. California","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-9490&event=2"
"Rachel P. Kovner",2,"2014-10-06","2014-10","13-604","Heien v. North Carolina","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-604&event=2"
"Rachel P. Kovner",3,"2015-01-14","2014-10","13-1034","Mellouli v. Holder","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1034&event=2"
"Rachel P. Kovner",4,"2015-10-07","2015-10","14-449,14-450,14-452","Kansas v. Carr","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-449%2C14-450%2C14-452&event=3"
"Rachel P. Kovner",5,"2016-01-20","2015-10","14-1209","Sturgeon v. Frost","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-1209&event=2"
"Rachel P. Kovner",6,"2016-10-11","2016-10","15-606","Pena-Rodriguez v. Colorado","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-606&event=2"
"Rachel P. Kovner",7,"2017-02-21","2016-10","15-1248","McLane Co. v. EEOC","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-1248&event=2"
"Rachel P. Kovner",8,"2017-04-25","2016-10","16-466","Bristol-Myers Squibb Co. v. Superior Court of Cal., San Francisco Cty.","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=16-466&event=2"
"Rachel P. Kovner",9,"2017-10-11","2017-10","16-299","National Assn. of Mfrs. v. Department of Defense","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=16-299&event=2"
"Rachel P. Kovner",10,"2018-03-27","2017-10","17-155","Hughes v. United States","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=17-155&event=2"
"Rachel P. Kovner",11,"2018-04-16","2017-10","17-530","Wisconsin Central Ltd. v. United States","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=17-530&event=2"
"Rachel P. Kovner",12,"2018-11-06","2018-10","17-1042","BNSF R. Co. v. Loos","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-1042&event=2"
"Rachel P. Kovner",13,"2019-03-25","2018-10","17-1705","PDR Network, LLC v. Carlton & Harris Chiropractic, Inc.","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-1705&event=2"
"Rebecca E. Woodman",1,"2005-12-07","2005-10","04-1170","Kansas v. Marsh","548 U.S. 163 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1170&event=1"
"Rebecca E. Woodman",2,"2006-04-25","2005-10","04-1170","Kansas v. Marsh","548 U.S. 163 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1170&event=3"
"Rebecca J. Harper",1,"2003-12-02","2003-10","02-1016","Till et ux. v. SCS Credit Corp.","541 U.S. 465 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=02-1016&event=1"
"Rebecca Hudsmith",1,"1997-11-10","1997-10","96-7901","Trest v. Cain","522 U.S. 87 (1997)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=96-7901&event=1"
